id_univoco_globale;IdBra;titolo;autore;strumento;volume;PercRadice;PercResto;PrimoLInk;TipoMulti;TipoDocu;ArchivioProvenienza;NumPag;NumOrig;IdVolume;IdAutore
1;24678;'A CANZUNCELLA - Alunni del Sole;Alunni del sole;C,Bb,Eb;'A CANZUNCELLA - Alunni del Sole.MGX;C:\JamsetPDF;\BiabDBRicerca\ItalianeLeggera\;O:\BiabDBRicerca\ItalianeLeggera\'A CANZUNCELLA - Alunni del Sole.MGX;BiaB;B;Biab;;;24594;
2;19730;A Certain Smile;;C,Bb,Eb;A Certain Smile.MGU;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A Certain Smile.MGU;BiaB;B;BiaB;;;;
3;19731;A Certain Smile-Secret Love;;C,Bb,Eb;A Certain Smile-Secret Love.MGU;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A Certain Smile-Secret Love.MGU;BiaB;B;BiaB;;;;
4;24595;A CHI - FAUSTOLEALI;;C,Bb,Eb;ACHI-FAUSTOLEALI.MGX;C:\JamsetPDF;\BiabDBRicerca\ItalianeLeggera\;O:\BiabDBRicerca\ItalianeLeggera\ACHI-FAUSTOLEALI.MGX;BiaB;B;Biab;;;24594;
7;19733;A Child Is Born;;C,Bb,Eb;Child Is Born, A.MGH;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\Child Is Born, A.MGH;BiaB;B;BiaB;;;;
8;19732;A Child is Born;;C,Bb,Eb;A Child Is Born.MGH;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A Child Is Born.MGH;BiaB;B;BiaB;;;;
9;9103;A CHILD IS BORN ;;Eb;The New Real Book (Eb) Vol.2.pdf;C:\JamsetPDF;\PDF REAL BOOK\BookEb\;P:\PDF REAL BOOK\BookEb\The New Real Book (Eb) Vol.2.pdf;PDF;B;Realbook;47;;9023;
10;13748;A Child Is Born - Thad Jones -Score -arr Mike Carubia;Mike Carubia;C,Bb,Eb;A Child Is Born - Thad Jones -Score -arr Mike Carubia.pdf;C:\JamsetPDF;\BBAVol1\;P:\BBAVol1\A Child Is Born - Thad Jones -Score -arr Mike Carubia.pdf;PDF;B;BIGBAND;;;;
11;13749;A Child Is Born - Thad Jones -Score PARTS-arr Thad Jones;Thad Jones;C,Bb,Eb;A Child Is Born - Thad Jones -Score PARTS-arr Thad Jones.pdf;C:\JamsetPDF;\BBAVol1\;P:\BBAVol1\A Child Is Born - Thad Jones -Score PARTS-arr Thad Jones.pdf;PDF;B;BIGBAND;;;;
12;13750;"A Child Is Born;Thad Jones-Ballad -interess-Arr Mike Carubia";Mike Carubia;C,Bb,Eb;"A Child Is Born;Thad Jones-Ballad -interess-Arr Mike Carubia.mus";C:\JamsetPDF;\BBAVol1\;"P:\BBAVol1\A Child Is Born;Thad Jones-Ballad -interess-Arr Mike Carubia.mus";FIN;B;BIGBAND;;;;
13;13751;"A Child Is Born;Thad Jones-Ballad -interess-Arr Mike Carubia";Mike Carubia;C,Bb,Eb;"A Child Is Born;Thad Jones-Ballad -interess-Arr Mike Carubia.sib";C:\JamsetPDF;\BBAVol1\;"P:\BBAVol1\A Child Is Born;Thad Jones-Ballad -interess-Arr Mike Carubia.sib";SIB;B;BIGBAND;;;;
14;13752;"A Child Is Born;Thad Jones-Ballad -interess-Arr Mike Carubia";Mike Carubia;C,Bb,Eb;"A Child Is Born;Thad Jones-Ballad -interess-Arr Mike Carubia.xml";C:\JamsetPDF;\BBAVol1\;"P:\BBAVol1\A Child Is Born;Thad Jones-Ballad -interess-Arr Mike Carubia.xml";XML;B;BIGBAND;;;;
15;13753;"A Child Is Born;Thad Jones-Parts-Arr Mike Carubia";Mike Carubia;C,Bb,Eb;"A Child Is Born;Thad Jones-Parts-Arr Mike Carubia.pdf";C:\JamsetPDF;\BBAVol1\;"P:\BBAVol1\A Child Is Born;Thad Jones-Parts-Arr Mike Carubia.pdf";PDF;B;BIGBAND;;;;
17;19735;A Cottage For Sale;;C,Bb,Eb;A Cottage For Sale.MGU;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A Cottage For Sale.MGU;BiaB;B;BiaB;;;;
18;19734;A Cottage For Sale;;C,Bb,Eb;A Cottage For Sale COTTAGE.MGU;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A Cottage For Sale COTTAGE.MGU;BiaB;B;BiaB;;;;
19;9465;A Cottage for Sale;;Eb;Hal Leonard real jazz standards fake book - Eb edition - hal leonard.pdf;C:\JamsetPDF;\PDF REAL BOOK\BookEb\;P:\PDF REAL BOOK\BookEb\Hal Leonard real jazz standards fake book - Eb edition - hal leonard.pdf;PDF;B;Realbook;83;;9433;
20;19736;A Cottage For Sale - Willard Robison;;C,Bb,Eb;A Cottage For Sale - Willard Robison.MG1;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A Cottage For Sale - Willard Robison.MG1;BiaB;B;BiaB;;;;
23;19737;A Day In The Life;;C,Bb,Eb;A Day In The Life.MGB;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A Day In The Life.MGB;BiaB;B;BiaB;;;;
24;9471;A Day in the Life of a Fool (Man ha De Carnaval);;Eb;Hal Leonard real jazz standards fake book - Eb edition - hal leonard.pdf;C:\JamsetPDF;\PDF REAL BOOK\BookEb\;P:\PDF REAL BOOK\BookEb\Hal Leonard real jazz standards fake book - Eb edition - hal leonard.pdf;PDF;B;Realbook;95;;9433;
28;19738;A Family Joy;;C,Bb,Eb;A Family Joy.MGU;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A Family Joy.MGU;BiaB;B;BiaB;;;;
29;19739;A Family Joy arranged by george kuhns;;C,Bb,Eb;A Family Joy  arranged by george kuhns.MGU;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A Family Joy  arranged by george kuhns.MGU;BiaB;B;BiaB;;;;
31;19740;A Felicidade;;C,Bb,Eb;A Felicidade.MG4;C:\JamsetPDF;\BiabDBRicerca\EnciEBbSongs\;O:\BiabDBRicerca\EnciEBbSongs\A Felicidade.MG4;BiaB;B;BiaB;;;;
